Country,Industry,Gas Type,Year,Emissions
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2010,746.6664872
Africa,Construction,Greenhouse gas,2010,14.969387
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2010,426.0598798
Africa,Manufacturing,Greenhouse gas,2010,354.664695
Africa,Mining,Greenhouse gas,2010,535.5901641
Africa,Other Services Industries,Greenhouse gas,2010,33.08978825
Africa,Total Households,Greenhouse gas,2010,245.9346057
Africa,Total Industry and Households,Greenhouse gas,2010,2711.403263
Africa,Transportation and Storage,Greenhouse gas,2010,203.0916652
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2010,151.3365911
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2010,3079.353009
Asia,Construction,Greenhouse gas,2010,379.682036
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2010,6605.720707
Asia,Manufacturing,Greenhouse gas,2010,6215.866922
Asia,Mining,Greenhouse gas,2010,2322.091418
Asia,Other Services Industries,Greenhouse gas,2010,420.6946865
Asia,Total Households,Greenhouse gas,2010,1695.83556
Asia,Total Industry and Households,Greenhouse gas,2010,23065.66302
Asia,Transportation and Storage,Greenhouse gas,2010,1602.704419
Asia,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2010,743.7142607
Europe,"Agriculture, Forestry and Fishing",Greenhouse gas,2010,730.7775574
Europe,Construction,Greenhouse gas,2010,73.03000612
Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2010,2366.867387
Europe,Manufacturing,Greenhouse gas,2010,1504.692515
Europe,Mining,Greenhouse gas,2010,352.8786434
Europe,Other Services Industries,Greenhouse gas,2010,387.436992
Europe,Total Households,Greenhouse gas,2010,1284.053605
Europe,Total Industry and Households,Greenhouse gas,2010,7779.188344
Europe,Transportation and Storage,Greenhouse gas,2010,776.7357907
Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2010,302.715848
Northern America,"Agriculture, Forestry and Fishing",Greenhouse gas,2010,665.4459063
Northern America,Construction,Greenhouse gas,2010,131.3137908
Northern America,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2010,2457.800726
Northern America,Manufacturing,Greenhouse gas,2010,1069.792091
Northern America,Mining,Greenhouse gas,2010,491.0283096
Northern America,Other Services Industries,Greenhouse gas,2010,1000.015042
Northern America,Total Households,Greenhouse gas,2010,1331.773015
Northern America,Total Industry and Households,Greenhouse gas,2010,8042.254929
Northern America,Transportation and Storage,Greenhouse gas,2010,847.4256064
Northern America,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2010,47.66044147
Oceania,"Agriculture, Forestry and Fishing",Greenhouse gas,2010,119.6083081
Oceania,Construction,Greenhouse gas,2010,3.062038816
Oceania,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2010,216.6313675
Oceania,Manufacturing,Greenhouse gas,2010,70.8426863
Oceania,Mining,Greenhouse gas,2010,54.67068228
Oceania,Other Services Industries,Greenhouse gas,2010,10.54297348
Oceania,Total Households,Greenhouse gas,2010,64.59390413
Oceania,Total Industry and Households,Greenhouse gas,2010,635.1336126
Oceania,Transportation and Storage,Greenhouse gas,2010,78.06231081
Oceania,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2010,17.11934113
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2011,759.2237998
Africa,Construction,Greenhouse gas,2011,14.91376415
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2011,425.0097008
Africa,Manufacturing,Greenhouse gas,2011,350.4684788
Africa,Mining,Greenhouse gas,2011,512.5150957
Africa,Other Services Industries,Greenhouse gas,2011,34.58594438
Africa,Total Households,Greenhouse gas,2011,255.9502846
Africa,Total Industry and Households,Greenhouse gas,2011,2718.22729
Africa,Transportation and Storage,Greenhouse gas,2011,209.0207022
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2011,156.5395196
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2011,3119.930523
Asia,Construction,Greenhouse gas,2011,398.892241
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2011,7268.613492
Asia,Manufacturing,Greenhouse gas,2011,6586.976215
Asia,Mining,Greenhouse gas,2011,2504.621313
Asia,Other Services Industries,Greenhouse gas,2011,414.5791777
Asia,Total Households,Greenhouse gas,2011,1768.037321
